mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791301,0.791301,0.791301,0.791301,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,0.791298,0.791298,0.791298,0.791298,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,
1.000000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791494,0.791494,0.791494,0.791494,15.463236,15.463236,15.463236,15.463236,15.463236,15.463236,15.463236,15.463236,0.790979,0.791843,0.791843,0.790979,15.457613,15.467038,15.457613,15.467038,15.467038,15.457613,15.467038,15.457613,
1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791693,0.791693,0.791693,0.791693,15.465398,15.465398,15.465398,15.465398,15.465398,15.465398,15.465398,15.465398,0.790361,0.792816,0.792816,0.790361,15.450871,15.477636,15.450871,15.477636,15.477636,15.450871,15.477636,15.450871,
1.000000,0.700000,0.700000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791915,0.791915,0.791915,0.791915,15.467819,15.467819,15.467819,15.467819,15.467819,15.467819,15.467819,15.467819,0.789697,0.793914,0.793914,0.789697,15.443612,15.489585,15.443612,15.489585,15.489585,15.443612,15.489585,15.443612,
1.000000,0.600000,0.600000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.792150,0.792150,0.792150,0.792150,15.470384,15.470384,15.470384,15.470384,15.470384,15.470384,15.470384,15.470384,0.788966,0.795123,0.795123,0.788966,15.435625,15.502724,15.435625,15.502724,15.502724,15.435625,15.502724,15.435625,
1.000000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.792395,0.792395,0.792395,0.792395,15.473054,15.473054,15.473054,15.473054,15.473054,15.473054,15.473054,15.473054,0.788139,0.796461,0.796461,0.788139,15.426578,15.517254,15.426578,15.517254,15.517254,15.426578,15.517254,15.426578,
1.000000,0.400000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.792637,0.792637,0.792637,0.792637,15.475692,15.475692,15.475692,15.475692,15.475692,15.475692,15.475692,15.475692,0.787192,0.797931,0.797931,0.787192,15.416208,15.533182,15.416208,15.533182,15.533182,15.416208,15.533182,15.416208,
1.000000,0.300000,0.300000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.792828,0.792828,0.792828,0.792828,15.477773,15.477773,15.477773,15.477773,15.477773,15.477773,15.477773,15.477773,0.786053,0.799520,0.799520,0.786053,15.403721,15.550372,15.403721,15.550372,15.550372,15.403721,15.550372,15.403721,
1.000000,0.200000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.793227,0.793227,0.793227,0.793227,15.482117,15.482117,15.482117,15.482117,15.482117,15.482117,15.482117,15.482117,0.784962,0.801476,0.801476,0.784962,15.391737,15.571486,15.391737,15.571486,15.571486,15.391737,15.571486,15.391737,
1.000000,0.100000,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.793694,0.793694,0.793694,0.793694,15.487195,15.487195,15.487195,15.487195,15.487195,15.487195,15.487195,15.487195,0.783741,0.803729,0.803729,0.783741,15.378312,15.595754,15.378312,15.595754,15.595754,15.378312,15.595754,15.378312,
