mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,rhoA = 0.100000,rhoB = 0.900000,data are below
sigma,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
0.100000,0.500000,0.887500,0.887500,0.500000,0.533738,0.533738,0.533738,0.533738,18.071148,18.071148,13.144057,13.144057,13.144057,13.144057,18.071148,18.071148,0.528748,0.555793,0.555793,0.528748,17.989037,18.424784,13.067053,13.478039,13.478039,13.067053,18.424784,17.989037,
0.100000,0.500000,0.900000,0.900000,0.500000,0.534348,0.534348,0.534348,0.534348,18.081128,18.081128,13.038801,13.038801,13.038801,13.038801,18.081128,18.081128,0.529285,0.556978,0.556978,0.529285,17.997902,18.443358,12.961005,13.379901,13.379901,12.961005,18.443358,17.997902,
0.100000,0.500000,0.912500,0.912500,0.500000,0.534947,0.534947,0.534947,0.534947,18.090925,18.090925,12.935292,12.935292,12.935292,12.935292,18.090925,18.090925,0.529810,0.558163,0.558163,0.529810,18.006570,18.461908,12.856699,13.283606,13.283606,12.856699,18.461908,18.006570,
0.100000,0.500000,0.925000,0.925000,0.500000,0.535528,0.535528,0.535528,0.535528,18.100411,18.100411,12.833361,12.833361,12.833361,12.833361,18.100411,18.100411,0.530320,0.559313,0.559313,0.530320,18.014981,18.479857,12.754029,13.188560,13.188560,12.754029,18.479857,18.014981,
0.100000,0.500000,0.937500,0.937500,0.500000,0.536091,0.536091,0.536091,0.536091,18.109598,18.109598,12.732973,12.732973,12.732973,12.732973,18.109598,18.109598,0.530815,0.560437,0.560437,0.530815,18.023144,18.497372,12.652958,13.094875,13.094875,12.652958,18.497372,18.023144,
0.100000,0.500000,0.950000,0.950000,0.500000,0.536638,0.536638,0.536638,0.536638,18.118496,18.118496,12.634091,12.634091,12.634091,12.634091,18.118496,18.118496,0.531296,0.561537,0.561537,0.531296,18.031067,18.514466,12.553446,13.002519,13.002519,12.553446,18.514466,18.031067,
0.100000,0.500000,0.962500,0.962500,0.500000,0.537167,0.537167,0.537167,0.537167,18.127116,18.127116,12.536681,12.536681,12.536681,12.536681,18.127116,18.127116,0.531764,0.562612,0.562612,0.531764,18.038760,18.531151,12.455459,12.911461,12.911461,12.455459,18.531151,18.038760,
0.100000,0.500000,0.975000,0.975000,0.500000,0.537681,0.537681,0.537681,0.537681,18.135466,18.135466,12.440711,12.440711,12.440711,12.440711,18.135466,18.135466,0.532219,0.563674,0.563674,0.532219,18.046230,18.547591,12.358961,12.821813,12.821813,12.358961,18.547591,18.046230,
0.100000,0.500000,0.987500,0.987500,0.500000,0.538179,0.538179,0.538179,0.538179,18.143557,18.143557,12.346148,12.346148,12.346148,12.346148,18.143557,18.143557,0.532661,0.564703,0.564703,0.532661,18.053485,18.563492,12.263917,12.733261,12.733261,12.263917,18.563492,18.053485,
0.100000,0.500000,1.000000,1.000000,0.500000,0.538662,0.538662,0.538662,0.538662,18.151397,18.151397,12.252961,12.252961,12.252961,12.252961,18.151397,18.151397,0.533090,0.565710,0.565710,0.533090,18.060531,18.579017,12.170294,12.645919,12.645919,12.170294,18.579017,18.060531,
