mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,sigma =0.250000,data are below
drho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
0.010000,0.875000,0.875000,0.750000,0.750000,0.637071,0.637071,0.637071,0.637071,14.746326,14.746326,16.075234,16.075234,14.746326,14.746326,16.075234,16.075234,0.637067,0.637067,0.637067,0.637067,14.746267,14.746263,16.075175,16.075170,14.746267,14.746263,16.075175,16.075170,
0.010000,0.875000,0.875000,0.875000,0.875000,0.662661,0.662661,0.662661,0.662661,15.083385,15.083385,15.083385,15.083385,15.083385,15.083385,15.083385,15.083385,0.662657,0.662657,0.662657,0.662657,15.083328,15.083328,15.083328,15.083328,15.083328,15.083328,15.083328,15.083328,
0.010000,0.875000,0.875000,1.000000,1.000000,0.685019,0.685019,0.685019,0.685019,15.368832,15.368832,14.228724,14.228724,15.368832,15.368832,14.228724,14.228724,0.685015,0.685015,0.685015,0.685015,15.368773,15.368777,14.228666,14.228670,15.368773,15.368777,14.228666,14.228670,
0.010000,0.875000,0.875000,1.125000,1.125000,0.705041,0.705041,0.705041,0.705041,15.617587,15.617587,13.484085,13.484085,15.617587,15.617587,13.484085,13.484085,0.705036,0.705036,0.705036,0.705036,15.617528,15.617535,13.484028,13.484034,15.617528,15.617535,13.484028,13.484034,
0.010000,0.875000,0.875000,1.250000,1.250000,0.723067,0.723067,0.723067,0.723067,15.836223,15.836223,12.826399,12.826399,15.836223,15.836223,12.826399,12.826399,0.723062,0.723063,0.723062,0.723063,15.836163,15.836172,12.826343,12.826352,15.836163,15.836172,12.826343,12.826352,
0.010000,0.875000,0.875000,1.375000,1.375000,0.739419,0.739419,0.739419,0.739419,16.030328,16.030328,12.239611,12.239611,16.030328,16.030328,12.239611,12.239611,0.739414,0.739415,0.739414,0.739415,16.030269,16.030280,12.239557,12.239567,16.030269,16.030280,12.239557,12.239567,
0.010000,0.875000,0.875000,1.500000,1.500000,0.754337,0.754337,0.754337,0.754337,16.204012,16.204012,11.711557,11.711557,16.204012,16.204012,11.711557,11.711557,0.754332,0.754333,0.754332,0.754333,16.203952,16.203965,11.711504,11.711515,16.203952,16.203965,11.711504,11.711515,
0.010000,1.000000,1.000000,0.500000,0.500000,0.593250,0.593250,0.593250,0.593250,13.032326,13.032326,18.992684,18.992684,13.032326,13.032326,18.992684,18.992684,0.593247,0.593245,0.593247,0.593245,13.032279,13.032255,18.992634,18.992609,13.032279,13.032255,18.992634,18.992609,
0.010000,1.000000,1.000000,0.625000,0.625000,0.628430,0.628430,0.628430,0.628430,13.506909,13.506909,17.547892,17.547892,13.506909,13.506909,17.547892,17.547892,0.628426,0.628425,0.628426,0.628425,13.506859,13.506844,17.547840,17.547824,13.506859,13.506844,17.547840,17.547824,
0.010000,1.000000,1.000000,0.750000,0.750000,0.658623,0.658623,0.658623,0.658623,13.898161,13.898161,16.364783,16.364783,13.898161,13.898161,16.364783,16.364783,0.658619,0.658618,0.658619,0.658618,13.898109,13.898101,16.364728,16.364720,13.898109,13.898101,16.364728,16.364720,
0.010000,1.000000,1.000000,0.875000,0.875000,0.685019,0.685019,0.685019,0.685019,14.228724,14.228724,15.368832,15.368832,14.228724,14.228724,15.368832,15.368832,0.685015,0.685015,0.685015,0.685015,14.228670,14.228666,15.368777,15.368773,14.228670,14.228666,15.368777,15.368773,
0.010000,1.000000,1.000000,1.000000,1.000000,0.708415,0.708415,0.708415,0.708415,14.513179,14.513179,14.513179,14.513179,14.513179,14.513179,14.513179,14.513179,0.708411,0.708411,0.708411,0.708411,14.513127,14.513127,14.513127,14.513127,14.513127,14.513127,14.513127,14.513127,
0.010000,1.000000,1.000000,1.125000,1.125000,0.729511,0.729511,0.729511,0.729511,14.763071,14.763071,13.767992,13.767992,14.763071,14.763071,13.767992,13.767992,0.729507,0.729507,0.729507,0.729507,14.763017,14.763020,13.767940,13.767943,14.763017,14.763020,13.767940,13.767943,
0.010000,1.000000,1.000000,1.250000,1.250000,0.748447,0.748447,0.748447,0.748447,14.982235,14.982235,13.108000,13.108000,14.982235,14.982235,13.108000,13.108000,0.748442,0.748443,0.748442,0.748443,14.982181,14.982187,13.107949,13.107954,14.982181,14.982187,13.107949,13.107954,
0.010000,1.000000,1.000000,1.375000,1.375000,0.765648,0.765648,0.765648,0.765648,15.177248,15.177248,12.518488,12.518488,15.177248,15.177248,12.518488,12.518488,0.765643,0.765644,0.765643,0.765644,15.177192,15.177199,12.518436,12.518443,15.177192,15.177199,12.518436,12.518443,
0.010000,1.000000,1.000000,1.500000,1.500000,0.781293,0.781293,0.781293,0.781293,15.351350,15.351350,11.986734,11.986734,15.351350,15.351350,11.986734,11.986734,0.781288,0.781289,0.781288,0.781289,15.351295,15.351304,11.986683,11.986691,15.351295,15.351304,11.986683,11.986691,
0.010000,1.125000,1.125000,0.500000,0.500000,0.609838,0.609838,0.609838,0.609838,12.303354,12.303354,19.231930,19.231930,12.303354,12.303354,19.231930,19.231930,0.609834,0.609832,0.609834,0.609832,12.303308,12.303282,19.231881,19.231853,12.303308,12.303282,19.231881,19.231853,
