mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.500000,0.500000,0.750000,0.750000,0.553708,0.553708,0.553708,0.553708,18.391984,18.391984,14.865124,14.865124,18.391984,18.391984,14.865124,14.865124,0.551404,0.555894,0.551404,0.555894,18.355588,18.426372,14.829475,14.898833,18.355588,18.426372,14.829475,14.898833,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.500000,0.500000,0.750000,0.750000,0.553482,0.553482,0.553482,0.553482,18.388414,18.388414,14.861626,14.861626,18.388414,18.388414,14.861626,14.861626,0.549364,0.557514,0.549364,0.557514,18.323228,18.451748,14.797805,14.923726,18.323228,18.451748,14.797805,14.923726,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.500000,0.500000,0.750000,0.750000,0.553704,0.553704,0.553704,0.553704,18.391914,18.391914,14.865055,14.865055,18.391914,18.391914,14.865055,14.865055,0.546890,0.560536,0.546890,0.560536,18.283814,18.498913,14.759263,14.970030,18.283814,18.498913,14.759263,14.970030,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.500000,0.500000,0.750000,0.750000,0.553443,0.553443,0.553443,0.553443,18.387811,18.387811,14.861035,14.861035,18.387811,18.387811,14.861035,14.861035,0.542741,0.564343,0.542741,0.564343,18.217316,18.557936,14.694316,15.028048,18.217316,18.557936,14.694316,15.028048,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,0.750000,0.750000,0.553665,0.553665,0.553665,0.553665,18.391311,18.391311,14.864464,14.864464,18.391311,18.391311,14.864464,14.864464,0.537418,0.570561,0.537418,0.570561,18.131192,18.653426,14.610347,15.122081,18.131192,18.653426,14.610347,15.122081,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.500000,0.500000,0.750000,0.750000,0.553646,0.553646,0.553646,0.553646,18.391012,18.391012,14.864171,14.864171,18.391012,18.391012,14.864171,14.864171,0.529624,0.579052,0.529624,0.579052,18.003502,18.782060,14.486159,15.249079,18.003502,18.782060,14.486159,15.249079,
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.750000,0.750000,0.553525,0.553525,0.553525,0.553525,18.389097,18.389097,14.862295,14.862295,18.389097,18.389097,14.862295,14.862295,0.519521,0.589906,0.519521,0.589906,17.835084,18.943571,14.322917,15.409075,17.835084,18.943571,14.322917,15.409075,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,0.875000,0.875000,0.574782,0.574782,0.574782,0.574782,18.717633,18.717633,13.876139,13.876139,18.717633,18.717633,13.876139,13.876139,0.574778,0.574778,0.574778,0.574778,18.717568,18.717568,13.876076,13.876077,18.717568,18.717568,13.876076,13.876077,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.500000,0.500000,0.875000,0.875000,0.574827,0.574827,0.574827,0.574827,18.718307,18.718307,13.876787,13.876787,18.718307,18.718307,13.876787,13.876787,0.574764,0.574845,0.574764,0.574845,18.717348,18.718582,13.875865,13.877052,18.717348,18.718582,13.875865,13.877052,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.500000,0.500000,0.875000,0.875000,0.574792,0.574792,0.574792,0.574792,18.717774,18.717774,13.876275,13.876275,18.717774,18.717774,13.876275,13.876275,0.574180,0.575276,0.574180,0.575276,18.708501,18.725108,13.867358,13.883329,18.708501,18.725108,13.867358,13.883329,
