mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.100000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.950000,0.950000,0.500000,0.576332,0.576332,0.576332,0.576332,18.741081,18.741081,13.215754,13.215754,13.215754,13.215754,18.741081,18.741081,0.547422,0.613396,0.613396,0.547422,18.292305,19.282317,12.795164,13.732191,13.732191,12.795164,19.282317,18.292305,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.962500,0.962500,0.500000,0.577705,0.577705,0.577705,0.577705,18.761793,18.761793,13.127915,13.127915,13.127915,13.127915,18.761793,18.761793,0.548226,0.615712,0.615712,0.548226,18.305121,19.314946,12.701113,13.654640,13.654640,12.701113,19.314946,18.305121,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.975000,0.975000,0.500000,0.579222,0.579222,0.579222,0.579222,18.784611,18.784611,13.043674,13.043674,13.043674,13.043674,18.784611,18.784611,0.549013,0.617998,0.617998,0.549013,18.317647,19.347023,12.608454,13.578130,13.578130,12.608454,19.347023,18.317647,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.987500,0.987500,0.500000,0.580529,0.580529,0.580529,0.580529,18.804224,18.804224,12.957992,12.957992,12.957992,12.957992,18.804224,18.804224,0.549783,0.620251,0.620251,0.549783,18.329885,19.378503,12.517149,13.502581,13.502581,12.517149,19.378503,18.329885,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.000000,1.000000,0.500000,0.581800,0.581800,0.581800,0.581800,18.823257,18.823257,12.873309,12.873309,12.873309,12.873309,18.823257,18.823257,0.550537,0.622473,0.622473,0.550537,18.341846,19.409426,12.427169,13.427994,13.427994,12.427169,19.409426,18.341846,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.012500,1.012500,0.500000,0.583054,0.583054,0.583054,0.583054,18.841992,18.841992,12.789850,12.789850,12.789850,12.789850,18.841992,18.841992,0.551274,0.624665,0.624665,0.551274,18.353539,19.439810,12.338484,13.354350,13.354350,12.338484,19.439810,18.353539,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.025000,1.025000,0.500000,0.584283,0.584283,0.584283,0.584283,18.860296,18.860296,12.707458,12.707458,12.707458,12.707458,18.860296,18.860296,0.551997,0.626827,0.626827,0.551997,18.364970,19.469670,12.251065,13.281628,13.281628,12.251065,19.469670,18.364970,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.037500,1.037500,0.500000,0.585473,0.585473,0.585473,0.585473,18.877993,18.877993,12.625935,12.625935,12.625935,12.625935,18.877993,18.877993,0.552704,0.628960,0.628960,0.552704,18.376147,19.499011,12.164883,13.209801,13.209801,12.164883,19.499011,18.376147,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.050000,1.050000,0.500000,0.586648,0.586648,0.586648,0.586648,18.895427,18.895427,12.545567,12.545567,12.545567,12.545567,18.895427,18.895427,0.553398,0.631055,0.631055,0.553398,18.387089,19.527723,12.079920,13.138732,13.138732,12.079920,19.527723,18.387089,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.062500,1.062500,0.500000,0.587799,0.587799,0.587799,0.587799,18.912470,18.912470,12.466205,12.466205,12.466205,12.466205,18.912470,18.912470,0.554075,0.633128,0.633128,0.554075,18.397760,19.556024,11.996113,13.068596,13.068596,11.996113,19.556024,18.397760,
